Issue ID,Issue Title,GitHub Link,Issue Details
17,ui portal on 8080 only white screen,https://github.com/openfaas/faas/issues/17,"{'description': ""This way cool, and thanks for posting this project!\r\n\r\nI ran the quickstart, and again on my local machine, however I wasn't able to successfully bring the UI portal up.  \r\n1) Cloned mater branch\r\n2 ) `docker swarm init --advertise-addr=$(ifconfig eth0| grep 'inet addr:'| cut -d: -f2 | awk '{ print $1}') &&   git clone https://github.com/alexellis/faas &&   cd faas &&   ./deploy_stack.sh &&   docker service ls`\r\n3) used curl to verify the stack was consumer web events\r\n4) checked prom to which came up without issues\r\n5) checked  AlertManager also no issues.\r\n6) tried http://localhost:8080 and I can only see a white screen, even though I can post events.\r\n\r\nCurious if you have any tips to get to the UX screen.\r\nTIA!"", 'comments': ['Thanks for the feedback on this - please see note on: https://github.com/alexellis/faas/pull/18\r\n\r\nBtw you can create your own function two ways:\r\n* through the stack file and running `docker stack deploy`\r\n* through a new pop-up in the UI\r\n\r\nThe image I\'ve pushed will now contain the ""new function"" popup and you can checkout [this]() as an example on how to create one with the base AlpineFunction image or any other image with your own code. Basically any Docker container plus the `fwatchdog` process.\r\n\r\nPlease try to pull this new image to verify the fix at your end, then I\'ll close the issue.', 'works now thanks!', 'Awesome, this will also work on your regular Docker installation just need at least 1.13. Do you have any pet projects or images you could try with FaaS?', ""Currently, my plan to to do some experiments with a few esp8266 modules and FaaS to see if I can do multi-room temperature measurements.  I didn't want to go overkill on a stack just to collect temperature data, this faas stack is pretty much much perfect for me.  I'll post some snippets once I get things up and running.  Thanks again.""]}"
24,docker-compose.yml cannot use '\t',https://github.com/openfaas/faas/issues/24,"{'description': '<!--- Provide a general summary of the issue in the Title above -->\r\nwhen to execute\r\n```\r\ndocker stack deploy -c docker-compose.yml func\r\n```\r\n\r\n## Expected Behavior\r\n<!--- If you\'re describing a bug, tell us what should happen -->\r\n<!--- If you\'re suggesting a change/improvement, tell us how it should work -->\r\npass \r\n## Current Behavior\r\n<!--- If describing a bug, tell us what happens instead of the expected behavior -->\r\n<!--- If suggesting a change/improvement, explain the difference from current behavior -->\r\nERROR: yaml.scanner.ScannerError: while scanning for the next token\r\nfound character \'\\t\' that cannot start any token\r\n  in ""./docker-compose.yml"", line 106, column 22\r\n\r\n## Possible Solution\r\n<!--- Not obligatory, but suggest a fix/reason for the bug, -->\r\n<!--- or ideas how to implement the addition or change -->\r\n#25 \r\n## Steps to Reproduce (for bugs)\r\n<!--- Provide a link to a live example, or an unambiguous set of steps to -->\r\n<!--- reproduce this bug. Include code to reproduce, if relevant -->\r\n1. git clone faas && cd faas && docker stack deploy -c docker-compose.yml func\r\n\r\n## Context\r\n<!--- How has this issue affected you? What are you trying to accomplish? -->\r\n<!--- Providing context helps us come up with a solution that is most useful in the real world -->\r\n\r\n## Your Environment\r\n<!--- Include as many relevant details about the environment you experienced the bug in -->\r\n* Version used: 17.03.0-ce\r\n* Environment name and version (e.g. nginx 1.9.1):\r\n* Server type and version:\r\n* Operating System and version:\r\n* Link to your project:', 'comments': ['Hi please can you edit this issue to use the template provided? As far as I am aware the compose file is working in the master branch', '@alexellis  update', '@llitfkitfk I have the same Docker version and cannot reproduce the issue on my Mac laptop or on Play-with-docker.com. I have removed any extra spacing I could find, do you want to try pulling from master again?\r\n\r\nBtw the ./deploy_stack.sh file will deploy the stack using a similar command. ', 'tried & works fine', 'docker-compose up --abort-on-container-exit\r\nERROR: yaml.scanner.ScannerError: while scanning for the next token\r\nfound character \'\\t\' that cannot start any token\r\n  in ""./docker-compose.yml"", line 7, column 1\r\n  \r\n  I managed to get this and it led me here. I can\'t figure it out for the life of me :(', ""@loftwah please raise your own issue because there is no swarm support in openfaas, which is what this issue is about. Don't delete any fields in the template when you raise your ticket."", '/lock']}"
27,"port to aarch64 (armv8, arm64)",https://github.com/openfaas/faas/issues/27,"{'description': ""It would be great to get this working on ARMv8.\r\n\r\n## Expected Behavior\r\n\r\nThe goal would be to provide a Dockerfile that enables FaaS on ARMv8 machines, specifically getting the watchdog process running.\r\n\r\n## Current Behavior\r\n\r\nThe biggest challenge I've identified is finding a compact base container that provides a current version of Go to build and run the worker. The aarch64/ubuntu-golang container is more than a year old, for example. https://github.com/aarch64/ubuntu-golang/issues/4\r\n\r\n## Possible Solution\r\n\r\nWork upstream to get a good aarch64/golang base image, and this becomes nearly trivial.\r\n\r\n## Context\r\n\r\nLooking to port this environment to the Packet 2A 96-core ARM servers.\r\n\r\n\r\n"", 'comments': [""An upstream container would be great - I think you already know @tiannon who manages aarch64.\r\n\r\nI have my own set of armhf Dockerfiles in this repo -> [docker-arm](https://github.com/alexellis/docker-arm/tree/master/images/armhf) in the interim I'd be happy to have PRs here to create an ARMv8 version of Dockerfiles.\r\n\r\nDid the watchdog / gateway build on Packet?\r\n\r\n### Steps for porting\r\n\r\n*There may be more, but I'd start here:*\r\n\r\n* Find base image for Alpine\r\n* Find base image for Golang 1.7.x (or try building with 1.6.4?)\r\n* Port sample functions as per existing .armhf. extensions\r\n* Port other build scripts as per existing .armhf. extensions\r\n\r\nOther dependency: Docker 1.13 or newer."", ""The base image for Alpine is easy, that's aarch64/alpine.\r\n\r\nThe base for Golang 1.7.x or 1.8.x can be aarch64/ubuntu + a Go PPA.\r\n\r\nI'll make a link from this issue to http://worksonarm.com/faas and chase dependencies there too."", 'WIP https://github.com/alexellis/faas/pull/52', ""Someone has a Docker build for 17.04-ce as a binary, I'll find that and use it."", 'I count 18 files to touch or add from \r\n\r\nhttps://github.com/alexellis/faas/search?utf8=✓&q=armhf&type=\r\n\r\nThere might be some refactoring to be done.', '[Arm64v8 on docker hub](https://hub.docker.com/r/arm64v8/golang/tags/) is showing recent activity.\r\n\r\nGolang 1.7.5 to 1.9 appears to be available.', ""Yes, that's good. Docker for ARMv8 is broken for Swarm right now, so this is the blocking piece at the moment. You can do a manual build but if 17.07 is fully working we can move forward with this."", 'Closing - will create new issue when we tackle this.']}"
31,"func_webhookstash won't stash file larger than 100k, just hangs",https://github.com/openfaas/faas/issues/31,"{'description': ""<!--- Provide a general summary of the issue in the Title above -->\r\nI'm able to stash (via func_webhookstash) a small text file, but when attempting a larger file (1.8M) the command simply hangs.\r\n\r\n## Expected Behavior\r\nI expect no behavior difference, regardless of file size/type.\r\n\r\nOr I expect a meaningful error.\r\n## Current Behavior\r\nThe larger upload hangs indefinitely.\r\n\r\nI do see the gateway forwarding to webhookstash:\r\n```\r\ndocker logs -f func_gateway.1.mazbcz33vjo5lhkviyj2y5kb3  \r\n\r\nResolving: 'func_webhookstash'\r\n[1490657353] Forwarding request [application/x-www-form-urlencoded] to: http://10.0.0.20:8080/\r\n```\r\n\r\nHowever, I see no further logging information.\r\n\r\n## Steps to Reproduce (for bugs)\r\n```\r\ndev % ls -al hello.txt IMG_0733.JPG\r\n-rw-r--r-- 1 nick nick      12 Mar 27 16:22 hello.txt\r\n-rw-r--r-- 1 nick nick 1815980 Mar 27 13:44 IMG_0733.JPG\r\n\r\ndev % cat hello.txt | curl -X POST http://localhost:8080/function/func_webhookstash --data-binary @-  \r\nStashing request\r\n\r\ndev % cat IMG_0733.JPG | curl -X POST http://localhost:8080/function/func_webhookstash --data-binary @-\r\n```\r\n**hangs indefinitely**\r\n\r\n## Environment\r\n\r\n* Docker version 17.03.0-ce, build 60ccb22\r\n* Linux dev 4.8.0-41-generic #44-Ubuntu SMP Fri Mar 3 15:27:17 UTC 2017 x86_64 x86_64 x86_64 GNU/Linux\r\n* Ubuntu 16.10"", 'comments': ['Seems to break at 100K:\r\n\r\n```\r\ndev % dd if=/dev/zero of=output.zero bs=1K count=50                                                                                                                                                                                                                      \r\n50+0 records in\r\n50+0 records out\r\n51200 bytes (51 kB, 50 KiB) copied, 0.000235105 s, 218 MB/s\r\n\r\ndev % cat output.zero | curl -X POST http://localhost:8080/function/func_webhookstash --data-binary @-\r\nStashing request\r\n\r\ndev % dd if=/dev/zero of=output.zero bs=1K count=100\r\n100+0 records in\r\n100+0 records out\r\n102400 bytes (102 kB, 100 KiB) copied, 0.000343563 s, 298 MB/s\r\n\r\ndev % cat output.zero | curl -X POST http://localhost:8080/function/func_webhookstash --data-binary @-    \r\n```', 'Note this also fails using the `-d @IMG_0733.JPG` method (vs `cat` and `-d @-`)', ""I'll have a look into this issue, but a web-hook is just an event - not a blob. I.e. a JSON POST rather than binary images or dd-generated etc. It should be a short message in JSON plain-text or application/json.\r\n\r\nIf you want to look at the sample/test function's source it's available in the repository @ https://github.com/alexellis/faas/blob/master/sample-functions/WebhookStash/handler.go\r\n\r\nYou can run the function stand-alone for testing `docker stack rm func` followed by `docker run -p 8080:8080 -ti alexellis2/faas-webhookstash`"", 'Looks like the Golang buffered pipe in (watchdog process) was blocking at 64kb.\r\n\r\nThis is the fix - https://github.com/alexellis/faas/compare/watchdog_buffer_fix\r\n\r\nIf you\'d like to try this before it\'s released then checkout the watchdog_buffer_fix branch and re-build the fwatchdog binary with the ""build.sh"" script in the watchdog folder. Then copy it to the webhook stash function. \r\n\r\nAlternatively - try swapping the tag `latest` for `issue_31` in docker-compose.yml for the webhookstash function.', 'Fixed by #33 ', 'Thanks, @alexellis !']}"
45,content-type unset (or lacking control) on functions via watchdog,https://github.com/openfaas/faas/issues/45,"{'description': '<!--- Provide a general summary of the issue in the Title above -->\r\n\r\nIt isn\'t clear to me how to set the Content-Type on an individual function, particularly run via the fwatchdog.\r\n\r\n## Expected Behavior\r\n\r\nI should be able to write HTTP headers as part of the output of the program (like cgi-bin):\r\n\r\n```\r\nContent-Type: text/plain\r\n\r\n\r\nhello world\r\n```\r\n\r\nOr specify it in the docker-compose:\r\n\r\n```\r\n   hello:\r\n        image: functions/alpine:latest\r\n        labels:\r\n            function: ""true""\r\n        depends_on:\r\n            - gateway\r\n        networks:\r\n            - functions\r\n        environment:\r\n            fprocess: ""echo hello world""\r\n            content_type: ""text/plain""\r\n            no_proxy: ""gateway""\r\n            https_proxy: $https_proxy\r\n```\r\n\r\n## Current Behavior\r\nContent-Type appears to be unset when using `fwatchdog`.\r\n\r\n## Possible Solution\r\n\r\n1) static content_type in docker-compose\r\n2) override_headers: ""true""/""false"" would allow the script to indicate http headers (via \\n\\n above)\r\n3) headers_stderr: ""true""/""false"" override headers written to stderr\r\n\r\nHappy to build something for PR if there is a desired direction.', 'comments': ['@nkirsch thanks for raising this issue. I\'d like to work on this soon - \r\nhave you got a specific example that you\'re trying to get working?\r\n\r\nThe watchdog should match the output contentType to that of the input contentType. So if Github/slack/etc posts a webhook event then that will be matched in the response.\r\n\r\nI think there are two main use-cases:\r\n\r\n1. JSON webhoook events from third-party integrations\r\n\r\nCurrent behaviour appears to work in this scenario - i.e. webhooks do not expect anything other than 200 - OK. If input is text/plain then the output will be matched. If the input is application/json the output will also be matched.\r\n\r\n```\r\n$ curl http://localhost:8080/function/fuchoit -d ""test"" -v -H ""Content-Type: text/plain""\r\n\r\n> Content-Type: text/plain\r\n> Content-Length: 4\r\n\r\n< Content-Type: text/plain\r\n< Content-Length: 4\r\n```\r\n\r\n2. Use of FaaS functions as part of another application\r\n\r\nThis is where I think your use-case is more applicable. So you may request a photo for instance with a JSON input contentType and expect content/octet-stream or similar as a response.\r\n\r\nWe need to figure out whether the output contentType should be set statically for a function by the watchdog or whether the function should indicate the contentType to the watchdog in a known format.\r\n\r\nStatically in watchdog:\r\n\r\n- process env var is set once ahead of time\r\n\r\nVia function\r\n\r\n- known serialized format is used and interpreted by the watchdog\r\n\r\n```\r\n{\r\n  ""raw"": ""dGVzdAo="",\r\n  ""contentType"": ""binary/octet-stream""\r\n}\r\n```', '@nkirsch would you like to test PR #46 ?', '@nkirsch did you ever come back to this? Might also be worth looking at of-watchdog via https://docs.openfaas.com which allows much more control over the HTTP response. ']}"
53,pipe the functions?,https://github.com/openfaas/faas/issues/53,"{'description': ""I currently haven't tried FaaS yet, but will do asap. I have one question though, something I couldn't make up from the documentation.\r\n\r\nIs it currently possible to create pipes? Thus, to link the STDOUT from one function to the STDIN of another function? Would something like this work?\r\n\r\n```bash\r\nmkfifo fifo\r\n./process1 argument1 < fifo | ./process2 argument1 > fifo\r\n```\r\nhttp://stackoverflow.com/questions/5129276/how-to-redirect-stdout-of-2nd-process-back-to-stdin-of-1st-process\r\n\r\nThanks,\r\nBas\r\n"", 'comments': [""@bdestombe i would be unsure about using unix pipes, but I've done something similar by chaining functions together. My example uses javascript and promises, but i'd think this could be done in any language. check out this FaaS [function ](https://github.com/aafrey/faas-demo/tree/master/src/Logger), index.coffee and faas-chain.coffee specifically for an example. "", ""Hi @bdestombe,\r\n\r\nThe functions are accessed through the API gateway which is a HTTP endpoint. So for now, you can (pipe) chain functions in two ways:\r\n\r\n* Through the client (transform passes back to caller each time - so network trips)\r\n* On the server, a single function calls through to other functions via local network - so less latency\r\n\r\nBut effectively you are piping. In my Dockercon demo you'll see me do server-side chaining for the Github / Fanclub:\r\n\r\nhttps://github.com/alexellis/faas-dockercon/"", 'Ah indeed, this makes sense. Thanks, both of you @aafrey and @alexellis. Using a post request over http for chaining several function was indeed what I was looking for.\r\n\r\nThanks,\r\nBas', 'Ah eventually found what I was originally looking for. This example first prints the license file to the stdin of the built-in encrypt-to-base64 function, then passes the encoded string to the the decrypt-from-base64 function and prints it to the stdout. It works on the playground.\r\n \r\n```bash\r\ncat LICENSE | curl -sX POST http://localhost:8080/function/func_base64 -d ""$(</dev/stdin)"" | curl -sX POST http://localhost:8080/function/func_decodebase64 -d ""$(</dev/stdin)""\r\n```\r\ngot some pointers from http://stackoverflow.com/questions/12583930/use-pipe-for-curl-data', ""I think that can become a bit simpler still. I'll see if I can suggest something in the week"", 'Here we go -\r\n\r\n```\r\n# curl -s --data-binary @LICENSE http://localhost:8080/function/func_base64 |  \\\r\n       curl -s http://localhost:8080/function/func_decodebase64 --data-binary @-\r\n```']}"
55,distinguish between functions belonging to different gateways,https://github.com/openfaas/faas/issues/55,"{'description': ""## Expected Behavior\r\n\r\nIf there are multiple gateways in the same swarm, it should be possible to configure the gateways to pick up specific sets of functions, perhaps by labels. Otherwise, each gateway picks up all function services in the swarm.\r\n\r\n## Current Behavior\r\n\r\nFunction services are currently denoted by the presence of a `function` label on the service. Gateways automatically pick up all services with this label.\r\n\r\n## Possible Solution\r\n\r\nAs an example, [Traefik](https://traefik.io) can be [configured with constraints](https://docs.traefik.io/toml/#constraints) for which Traefik configured services it handles. Only services that match the constraint (via tags on labels) will be handled by the Traefik instance. This enables multiple instances of Traefik to be deployed on a swarm, each handling a different set of services.\r\n\r\n## Context\r\n\r\nI'm trying out FaaS in a project. The repo branches for this project are automatically built and deployed on a Docker swarm for review as part of a CI/CD process. The FaaS gateways from the deployments are picking up the functions from all the deployments, not just the specific branch. There doesn't seem to be a way to limit each gateway to the services for a specific deployment.\r\n\r\n## Your Environment\r\n* Docker version `docker version` (e.g. Docker 17.0.03 ): 17.0.04\r\n* Operating System and version (e.g. Linux, Windows, MacOS): Development on macOS. CI/CD deployments on RHEL 7.3.\r\n* Link to your project: Not available (internal)."", 'comments': [""Hi @kinghuang,\r\n\r\nThanks for opening this issue. I'd like to understand your use-case a little more.\r\n\r\nIn terms of two making FaaS gateways available - have you tried deploying individual stacks on separate networks? Can you share your YAML file with me?\r\n\r\n```\r\n# docker stack deploy pipeline1 -c ./stack1.yml\r\n# docker stack deploy pipeline2 -c ./stack2.yml\r\n```"", 'I could reproduce the issue with the steps above. Both gateways saw the functions from either stack.\r\n\r\nHow would you propose injecting the unique network name / namespace into the gateway process/container?', 'You can use this test implementation - and provide a `stack_namespace` environmental variable to your gateways. This will filter your functions to only the gateway / stack they belong to.\r\n\r\nhttps://github.com/alexellis/faas/compare/filter_networks?expand=1', '@kinghuang please can you give feedback on above?', ""@alexellis Will do! I've added this to my task list."", ""@alexellis Sorry again to take so long. I'm finally ready to take a look at this, but it looks like the `filter_networks` branch is gone. Any chance you can push that back up and I'll review it right away? Thanks."", ""We're talking about an issue opened in April.. so I think I pruned it. The branch should be there again now thanks for looking 👍 "", ""Thanks. I don't see it on GitHub, yet. Mind double-checking the branch?"", ""@alexellis I still don't see the branch. Considering how much development has happened since May, would it be better to just re-implement? If so, I will take that on."", 'Sure. Please join us on Slack to coordinate - message alex@openfaas.com ', '@kinghuang thanks for joining. Here is the branch - https://github.com/alexellis/faas/compare/filter_networks?expand=1', 'Derek add label: priority/low']}"
62,"where to find dockerfile for ""busybox / shell""(functions/alpine:latest)",https://github.com/openfaas/faas/issues/62,"{'description': 'Hi,\r\n\r\nI just want to confirm Docker file for https://hub.docker.com/r/functions/alpine/.\r\nCan you git-add this file into repo too?\r\n\r\nThank you for exciting project!!', 'comments': [""Hey, you're welcome! \r\n\r\nIt's in the samples folder -> https://github.com/alexellis/faas/tree/master/sample-functions/AlpineFunction\r\n\r\nAlso - I've set up auto-build for this but the name is a bit more verbose -> https://hub.docker.com/r/functions/base/tags/""]}"
68,project: design logo / name,https://github.com/openfaas/faas/issues/68,"{'description': 'A logo will be useful for promoting project. Currently underway with designer.\r\n\r\nAt the same time a new project name could be useful. FaaS sounds a lot like ""fast"" which was confusing in the US. ', 'comments': [""I don't know the current status, but also think the Faas name is a little confusing in an already confusing topic (FaaS vs Serverless. What is the difference and things like that).\r\nI think a good name for it could be something like  Everest, because, you know, it auto scale the functions. Its about scaling. Not very clever but its a suggestion. Don't now if you are accepting suggestions for names, this can be very personal.\r\nHope I helped in some way."", ""The company Serverless Inc appears to be doing well even with a generic name. I'm still looking into a logo which may involve a new alias or name."", 'Generally, project maintainers select a animal, or thing that shares common traits with the project to imply similar qualities.  Perhaps you have some traits in mind already?', 'We have a cut of the logo here:\r\n\r\nhttps://blog.alexellis.io/introducing-functions-as-a-service/', 'Thanks for the comments', 'This is now widely known as OpenFaaS - www.openfaas.com. Closing issue. ', 'Mind sharing who the designer was for the logo? (big fan)']}"
74,get to 1.0 - security strategy,https://github.com/openfaas/faas/issues/74,"{'description': ""Initial areas for security strategy. Implementation needs to be easy to use when deployed locally or in development environment.\r\n\r\n**UI**\r\n\r\nStatic Angular UI tester visible when deployed\r\n\r\nSuggestion - HTTPs / basic auth and cookie. Minimum initial version could have a single admin account.\r\n\r\n**System API**\r\n\r\nEndpoints: deploy function / delete function / get a list of functions\r\n\r\nApproach needs to be consumed by the UI and by an optional CLI.\r\n\r\n**Functions API**\r\n\r\nI.e. /function/function_name [POST]\r\n\r\nThis can be split into two use-cases:\r\n\r\nFor the functions expecting webhooks, it's rare that I've seen anything here - sometimes a digest of the message from the remote party. Mainly just a HTTP POST with a body to your endpoint.\r\n\r\nFor endpoints not receiving webhooks from third-parties, but being used as part of a chain of functions etc - maybe here it makes sense to add some kind of header/bearer token / JWT.\r\n\r\n**Related**\r\n\r\n* Rate limiting\r\n* IP black/whitelisting\r\n* Account lock-out for bad login attempts\r\n* Account reset (via? email?)\r\n* Is persistent storage needed for any of the above?\r\n"", 'comments': [""In general seems like you're thinking about all the right things. I would say that supporting an HMAC injected as a header from any function receiving a web hook is probably the right call. That means that you probably need to have per-function symmetric keys?"", 'Any further thoughts on this in the long run? ', 'Hi @Omeryl - I would say that this is outside the scope of a serverless framework and could be implemented easily with a project specialising in these areas such as NGinx / Traefik or Kong. Does that make sense? What are your thoughts?', '@alexellis I mean, as long as the client is capable of doing basic auth, or sending specific headers, it could definitely be built as plugins for the client. I was just wondering what the official thoughts were on this before I started tinkering with this for some coworkers is all. ', 'Can you give me a quick outline of what you had in mind?', 'Kong/Mashape are working on a plugin for OpenFaaS - this should add whatever we need in terms of security / OAuth / basic auth / rate-limiting etc.']}"
